trtid10,gentcat_006a_50
6001400100,
6001400200,
6001400300,
6001400400,moderate
6001400500,intense
6001400600,intense
6001400700,intense
6001400800,intense
6001400900,intense
6001401000,intense
6001401100,intense
6001401200,intense
6001401300,intense
6001401400,intense
6001401500,intense
6001401600,intense
6001401700,intense
6001401800,intense
6001402200,intense
6001402400,intense
6001402500,moderate
6001402600,intense
6001402700,intense
6001402800,intense
6001402900,moderate
6001403000,intense
6001403100,intense
6001403300,intense
6001403400,moderate
6001403501,weak
6001403502,intense
6001403600,moderate
6001403701,weak
6001403702,intense
6001403800,moderate
6001403900,weak
6001404000,moderate
6001404101,moderate
6001404102,peoplegent
6001404200,
6001404300,
6001404400,
6001404501,
6001404502,
6001404600,
6001404700,
6001404800,pricegent
6001404900,weak
6001405000,
6001405100,
6001405200,moderate
6001405301,intense
6001405302,pricegent
6001405401,moderate
6001405402,weak
6001405500,intense
6001405600,weak
6001405700,weak
6001405800,moderate
6001405901,pricegent
6001405902,moderate
6001406000,intense
6001406100,intense
6001406201,intense
6001406202,intense
6001406300,moderate
6001406400,pricegent
6001406500,moderate
6001406601,pricegent
6001406602,moderate
6001406700,
6001406800,moderate
6001406900,pricegent
6001407000,pricegent
6001407101,peoplegent
6001407102,intense
6001407200,weak
6001407300,intense
6001407400,moderate
6001407500,moderate
6001407600,weak
6001407700,moderate
6001407800,moderate
6001407900,
6001408000,
6001408100,
6001408200,moderate
6001408300,moderate
6001408400,moderate
6001408500,intense
6001408600,pricegent
6001408700,intense
6001408800,weak
6001408900,pricegent
6001409000,pricegent
6001409100,weak
6001409200,moderate
6001409300,intense
6001409400,intense
6001409500,moderate
6001409600,weak
6001409700,moderate
6001409800,pricegent
6001409900,
6001410000,
6001410100,weak
6001410200,pricegent
6001410300,moderate
6001410400,intense
6001410500,intense
