"trtid10","race.category00","race.shortcategory00"
6001400100,"WhiteOther","WhiteMixed"
6001400200,"PredWhite","WhiteMixed"
6001400300,"PredWhite","WhiteMixed"
6001400400,"PredWhite","WhiteMixed"
6001400500,"BlackWhite","WhiteMixed"
6001400600,"BlackWhite","WhiteMixed"
6001400700,"PredBlack","PredBlack"
6001400800,"BlackWhite","WhiteMixed"
6001400900,"BlackWhite","WhiteMixed"
6001401000,"PredBlack","PredBlack"
6001401100,"Multiethnic","MixedOther"
6001401200,"Multiethnic","MixedOther"
6001401300,"Multiethnic","MixedOther"
6001401400,"BlackOther","BlackOther"
6001401500,"PredBlack","PredBlack"
6001401600,"BlackOther","BlackOther"
6001401700,"BlackOther","BlackOther"
6001401800,"BlackOther","BlackOther"
6001402200,"BlackOther","BlackOther"
6001402400,"BlackOther","BlackOther"
6001402500,"BlackOther","BlackOther"
6001402600,"BlackOther","BlackOther"
6001402700,"BlackOther","BlackOther"
6001402800,"BlackOther","BlackOther"
6001402900,"Multiethnic","MixedOther"
6001403000,"PredOther","MixedOther"
6001403100,"BlackOther","BlackOther"
6001403300,"PredOther","MixedOther"
6001403400,"Multiethnic","MixedOther"
6001403501,"Multiethnic","MixedOther"
6001403502,"Multiethnic","MixedOther"
6001403600,"Multiethnic","MixedOther"
6001403701,"Multiethnic","MixedOther"
6001403702,"Multiethnic","MixedOther"
6001403800,"WhiteOther","WhiteMixed"
6001403900,"Multiethnic","MixedOther"
6001404000,"WhiteOther","WhiteMixed"
6001404101,"WhiteOther","WhiteMixed"
6001404102,"WhiteOther","WhiteMixed"
6001404200,"PredWhite","WhiteMixed"
6001404300,"PredWhite","WhiteMixed"
6001404400,"WhiteOther","WhiteMixed"
6001404501,"WhiteOther","WhiteMixed"
6001404502,"WhiteOther","WhiteMixed"
6001404600,"WhiteOther","WhiteMixed"
6001404700,"PredWhite","WhiteMixed"
6001404800,"Multiethnic","MixedOther"
6001404900,"WhiteOther","WhiteMixed"
6001405000,"WhiteOther","WhiteMixed"
6001405100,"PredWhite","WhiteMixed"
6001405200,"Multiethnic","MixedOther"
6001405301,"Multiethnic","MixedOther"
6001405302,"Multiethnic","MixedOther"
6001405401,"BlackOther","BlackOther"
6001405402,"BlackOther","BlackOther"
6001405500,"BlackOther","BlackOther"
6001405600,"BlackOther","BlackOther"
6001405700,"BlackOther","BlackOther"
6001405800,"BlackOther","BlackOther"
6001405901,"PredOther","MixedOther"
6001405902,"PredOther","MixedOther"
6001406000,"PredOther","MixedOther"
6001406100,"PredOther","MixedOther"
6001406201,"PredOther","MixedOther"
6001406202,"PredOther","MixedOther"
6001406300,"BlackOther","BlackOther"
6001406400,"Multiethnic","MixedOther"
6001406500,"BlackOther","BlackOther"
6001406601,"BlackOther","BlackOther"
6001406602,"BlackOther","BlackOther"
6001406700,"WhiteOther","WhiteMixed"
6001406800,"WhiteOther","WhiteMixed"
6001406900,"Multiethnic","MixedOther"
6001407000,"BlackOther","BlackOther"
6001407101,"BlackOther","BlackOther"
6001407102,"BlackOther","BlackOther"
6001407200,"PredOther","MixedOther"
6001407300,"BlackOther","BlackOther"
6001407400,"BlackOther","BlackOther"
6001407500,"BlackOther","BlackOther"
6001407600,"BlackOther","BlackOther"
6001407700,"PredBlack","PredBlack"
6001407800,"BlackWhite","WhiteMixed"
6001407900,"Multiethnic","MixedOther"
6001408000,"WhiteOther","WhiteMixed"
6001408100,"Multiethnic","MixedOther"
6001408200,"PredBlack","PredBlack"
6001408300,"BlackWhite","WhiteMixed"
6001408400,"BlackOther","BlackOther"
6001408500,"BlackOther","BlackOther"
6001408600,"BlackOther","BlackOther"
6001408700,"BlackOther","BlackOther"
6001408800,"BlackOther","BlackOther"
6001408900,"BlackOther","BlackOther"
6001409000,"BlackOther","BlackOther"
6001409100,"BlackOther","BlackOther"
6001409200,"BlackOther","BlackOther"
6001409300,"BlackOther","BlackOther"
6001409400,"BlackOther","BlackOther"
6001409500,"BlackOther","BlackOther"
6001409600,"BlackOther","BlackOther"
6001409700,"BlackOther","BlackOther"
6001409800,"PredBlack","PredBlack"
6001409900,"BlackWhite","WhiteMixed"
6001410000,"BlackWhite","WhiteMixed"
6001410100,"BlackOther","BlackOther"
6001410200,"BlackOther","BlackOther"
6001410300,"BlackOther","BlackOther"
6001410400,"BlackOther","BlackOther"
6001410500,"BlackOther","BlackOther"
6001981900,"BlackOther","BlackOther"
6001982000,"BlackOther","BlackOther"
6001983200,"WhiteOther","WhiteMixed"
